number,name,ligand,repeat,length,TB/UB
1,lost sectioning,,1,short,
2,QW#HG#MR1s1#R#kain#5635#01,kain,1,short,tb
3,QW#HG#MR1s1#R#mk80#5637#01,mk80,1,short,tb
4,QW#HG#MR1s1#R#musc#5639#01,musc,1,short,tb
5,QW#HG#MR1s1#R#cgp5#5667#01,cgp5,1,short,tb
6,QW#HG#MR1S1#R#flum#5669#01,flum,1,short,tb
7,lost sectioning,,1,short,
8,cell body stain - section 13,AG,1,short,
9,lost sectioning,,1,short,
10,QW#HG#MR1s1#R#oxot#5643#01,oxot,1,short,tb
11,QW#HG#MR1s1#R#damp#5671#01,damp,1,short,tb
12,myelin stain - section 20,MS,1,short,
13,QW#HG#MR1s1#R#epib#5657#01,epib,1,short,tb
14,QW#HG#MR1s1#R#praz#5649#01,praz,1,short,tb
15,QW#HG#MR1s1#R#uk14#5651#01,uk14,1,short,tb
16,lost sectioning,,1,short,
17,lost sectioning,,1,short,
18,lost sectioning,,1,short,
19,lost sectioning,,1,short,
20,lost sectioning,,1,short,
21,spare; in freezer,,1,short,
22,QW#HG#MR1s1#R#dpat#5645#01,dpat,1,short,tb
23,lost sectioning,,1,short,
24,lost sectioning,,1,short,
25,QW#HG#MR1s1#R#sr95#5677#01,sr95,1,short,tb
26,cell body stain - section 32,AG,1,short,
27,QW#HG#MR1s1#R#sch2#5655#01,sch2,1,short,tb
28,lost sectioning,,1,short,
29,QW#HG#MR1s1#R#rx82#5653#01,rx82,1,short,tb
30,QW#HG#MR1s1#R#afdx#5673#01,afdx,1,short,tb
31,lost sectioning,,1,short,
32,QW#HG#MR1s1#R#dpog#5663#01,dpog,1,short,tb
33,myelin stain - section 41,MS,1,short,
34,QW#HG#MR1S1#R#dpmg#5665#01,dpmg,1,short,tb
35,spare; in freezer,,1,short,
36,QW#HG#MR1s1#R#ly34#5675#01,ly34,1,short,tb
37,QW#HG#MR1s1#R#cpog#5659#01,cpog,1,short,tb
38,QW#HG#MR1s1#R#cpmg#5661#01,cpmg,1,short,tb
39,QW#HG#MR1s1#R#keta#5647#01,keta,1,short,tb
40,QW#HG#MR1S1#R#pire#9510#01,pire,1,short,tb
41,damg; not digitized,,1,short,
42,QW#HG#MR1S1#R#ampa#9380#01,ampa,1,short,tb
43,spare; in freezer,,1,short,
44,dpdp; not digitized,,1,short,
45,spare; in freezer,,1,short,
46,spare; in freezer,,1,short,
47,spare; in freezer,,1,short,
48,spare; in freezer,,1,short,
49,spare; in freezer,,1,short,
50,spare; in freezer,,1,short,
51,spare; in freezer,,1,short,
52,lost sectioning,,1,short,
53,lost sectioning,,1,short,
54,lost sectioning,,1,short,
55,lost sectioning,,1,short,
56,lost sectioning,,1,short,
57,lost sectioning,,1,short,
58,lost sectioning,,1,short,
59,lost sectioning,,1,short,
60,lost sectioning,,1,short,
61,lost sectioning,,1,short,
62,lost sectioning,,1,short,
63,QW#HG#MR1s1#R#kain#5635#02,kain,2,short,tb
64,QW#HG#MR1s1#R#mk80#5637#02,mk80,2,short,tb
65,lost sectioning,,2,short,
66,lost sectioning,,2,short,
67,QW#HG#MR1s1#R#musc#5639#02,musc,2,short,tb
68,lost sectioning,,2,short,
