number,name,ligand,/,staining,Repeat,length,TB/UB,,
1,QY#HG#MR1s2#R#ampa#6117#01,ampa,1,short,tb,,,,
2,QY#HG#MR1s2#R#kain#6121#01,kain,1,short,tb,,,,
3,QY#HG#MR1s2#R#mk80#6125#01,mk80,1,short,tb,,,,
4,lost,sectioning,,1,short,,,,
5,lost,sectioning,,1,short,,,,
6,lost,sectioning,,1,short,,,,
7,QY#HG#MR1s2#R#musc#6129#01,musc,1,short,tb,,,,
8,lost,sectioning,,1,short,,,,
9,lost,sectioning,,1,short,,,,
10,QY#HG#MR1s2#R#cgp5#6185#01,cgp5,1,short,tb,,,,
11,lost,sectioning,,1,short,,,,
12,lost,sectioning,,1,short,,,,
13,QY#HG#MR1s2#R#flum#6189#01,flum,1,short,tb,,,,
14,lost,sectioning,,1,short,,,,
15,cell,body,stain,-,section,13,AG,1,short
16,lost,sectioning,,1,short,,,,
17,QY#HG#MR1s2#R#oxot#6137#01,oxot,1,short,tb,,,,
18,QY#HG#MR1s2#R#damp#6193#01,damp,1,short,tb,,,,
19,myelin,stain,-,section,20,MS,1,short,
20,QY#HG#MR1s2#R#epib#6165#01,epib,1,short,tb,,,,
21,lost,sectioning,,1,short,,,,
22,QY#HG#MR1s2#R#praz#6149#01,praz,1,short,tb,,,,
23,QY#HG#MR1s2#R#uk14#6153#01,uk14,1,short,tb,,,,
24,fall;,not,digitized,,1,short,,,
25,QY#HG#MR1s2#R#dpat#6141#01,dpat,1,short,tb,,,,
26,QY#HG#MR1s2#R#sr95#6205#01,sr95,1,short,tb,,,,
27,lost,sectioning,,1,short,,,,
28,cell,body,stain,-,section,32,AG,1,short
29,QY#HG#MR1s2#R#sch2#6161#01,sch2,1,short,tb,,,,
30,lost,sectioning,,1,short,,,,
31,QY#HG#MR1s2#R#rx82#6157#01,rx82,1,short,tb,,,,
32,QY#HG#MR1s2#R#afdx#6197#01,afdx,1,short,tb,,,,
33,lost,sectioning,,1,short,,,,
34,QY#HG#MR1s2#R#dpog#6177#01,dpog,1,short,tb,,,,
35,myelin,stain,-,section,41,MS,1,short,
36,QY#HG#MR1s2#R#dpmg#6181#01,dpmg,1,short,tb,,,,
37,spare;,in,freezer,,1,short,,,
38,lost,sectioning,,1,short,,,,
39,QY#HG#MR1s2#R#ly34#6201#01,ly34,1,short,tb,,,,
40,QY#HG#MR1s2#R#cpog#6169#01,cpog,1,short,tb,,,,
41,lost,sectioning,,1,short,,,,
42,QY#HG#MR1s2#R#cpmg#6173#01,cpmg,1,short,tb,,,,
43,keta,-,section,lost,keta,1,short,tb,
44,QY#HG#MR1S2#R#pire#9513#01,pire,1,short,tb,,,,
45,damg;,not,digitized,,1,short,,,
46,spare;,in,freezer,,1,short,,,
47,dpdp;,not,digitized,,1,short,,,
48,spare;,in,freezer,,1,short,,,
49,spare;,in,freezer,,1,short,,,
50,spare;,in,freezer,,1,short,,,
51,spare;,in,freezer,,1,short,,,
52,spare;,in,freezer,,1,short,,,
53,spare;,in,freezer,,1,short,,,
54,spare;,in,freezer,,1,short,,,
55,lost,sectioning,,1,short,,,,
56,lost,sectioning,,1,short,,,,
57,QY#HG#MR1s2#R#ampa#6117#02,ampa,2,short,tb,,,,
58,QY#HG#MR1s2#R#kain#6121#02,kain,2,short,tb,,,,
59,lost,sectioning,,2,short,,,,
60,QY#HG#MR1s2#R#mk80#6125#02,mk80,2,short,tb,,,,
61,QY#HG#MR1s2#R#musc#6129#02,musc,2,short,tb,,,,
62,QY#HG#MR1s2#R#cgp5#6185#02,cgp5,2,short,tb,,,,
63,QY#HG#MR1s2#R#flum#6189#02,flum,2,short,tb,,,,
64,lost,sectioning,,2,short,,,,
65,cell,body,stain,-,section,13,AG,2,short
66,QY#HG#MR1s2#R#oxot#6137#02,oxot,2,short,tb,,,,
67,lost,sectioning,,2,short,,,,
68,lost,sectioning,,2,short,,,,
69,lost,sectioning,,2,short,,,,
70,QY#HG#MR1s2#R#damp#6193#02,damp,2,short,tb,,,,
71,lost,sectioning,,2,short,,,,
72,myelin,stain,-,section,20,MS,2,short,
73,QY#HG#MR1s2#R#epib#6165#02,epib,2,short,tb,,,,
74,lost,sectioning,,2,short,,,,
75,QY#HG#MR1s2#R#praz#6149#02,praz,2,short,tb,,,,
76,QY#HG#MR1s2#R#uk14#6153#02,uk14,2,short,tb,,,,
77,lost,sectioning,,2,short,,,,
78,fall;,not,digitized,,2,short,,,
79,QY#HG#MR1s2#R#dpat#6141#02,dpat,2,short,tb,,,,
80,lost,sectioning,,2,short,,,,
81,QY#HG#MR1s2#R#sr95#6205#02,sr95,2,short,tb,,,,
82,lost,sectioning,,2,short,,,,
83,lost,sectioning,,2,short,,,,
84,lost,sectioning,,2,short,,,,
85,lost,sectioning,,2,short,,,,
86,lost,sectioning,,2,short,,,,
87,lost,sectioning,,2,short,,,,
88,cell,body,stain,-,section,32,AG,2,short
89,QY#HG#MR1s2#R#sch2#6161#02,sch2,2,short,tb,,,,
90,QY#HG#MR1s2#R#rx82#6157#02,rx82,2,short,tb,,,,
91,QY#HG#MR1s2#R#afdx#6197#02,afdx,2,short,tb,,,,
92,QY#HG#MR1s2#R#dpog#6177#02,dpog,2,short,tb,,,,
93,myelin,stain,-,section,41,MS,2,short,
94,QY#HG#MR1s2#R#dpmg#6181#02,dpmg,2,short,tb,,,,
95,QY#HG#MR1s2#R#ly34#6201#02,ly34,2,short,tb,,,,
96,spare;,in,freezer,,2,short,,,
97,lost,sectioning,,2,short,,,,
98,QY#HG#MR1s2#R#cpog#6169#02,cpog,2,short,tb,,,,
99,lost,sectioning,,2,short,,,,
100,lost,sectioning,,2,short,,,,
101,QY#HG#MR1s2#R#cpmg#6173#02,cpmg,2,short,tb,,,,
102,QY#HG#MR1s2#R#keta#6145#02,keta,2,short,tb,,,,
103,QY#HG#MR1S2#R#pire#9513#02,pire,2,short,tb,,,,
104,damg;,not,digitized,,2,short,,,
105,spare;,in,freezer,,2,short,,,
106,dpdp;,not,digitized,,2,short,,,
107,spare;,in,freezer,,2,short,,,
108,spare;,in,freezer,,2,short,,,
109,spare;,in,freezer,,2,short,,,
110,spare;,in,freezer,,2,short,,,
111,spare;,in,freezer,,2,short,,,
112,spare;,in,freezer,,2,short,,,
113,spare;,in,freezer,,2,short,,,
114,lost,sectioning,,2,short,,,,
115,lost,sectioning,,2,short,,,,
116,lost,sectioning,,2,short,,,,
117,lost,sectioning,,2,short,,,,
118,lost,sectioning,,2,short,,,,
119,QY#HG#MR1s2#R#ampa#6117#03,ampa,3,short,tb,,,,
120,lost,sectioning,,3,short,,,,
121,lost,sectioning,,3,short,,,,
122,QY#HG#MR1s2#R#kain#6121#03,kain,3,short,tb,,,,
123,QY#HG#MR1s2#R#mk80#6125#03,mk80,3,short,tb,,,,
124,QY#HG#MR1s2#R#musc#6129#03,musc,3,short,tb,,,,
125,QY#HG#MR1s2#R#cgp5#6185#03,cgp5,3,short,tb,,,,
126,QY#HG#MR1s2#R#flum#6189#03,flum,3,short,tb,,,,
127,cell,body,stain,-,section,13,AG,3,short
128,QY#HG#MR1s2#R#oxot#6137#03,oxot,3,short,tb,,,,
129,lost,sectioning,,3,short,,,,
130,lost,sectioning,,3,short,,,,
131,QY#HG#MR1s2#R#damp#6193#03,damp,3,short,tb,,,,
132,myelin,stain,-,section,20,MS,3,short,
133,QY#HG#MR1s2#R#epib#6165#03,epib,3,short,tb,,,,
134,QY#HG#MR1s2#R#praz#6149#03,praz,3,short,tb,,,,
135,QY#HG#MR1s2#R#uk14#6153#03,uk14,3,short,tb,,,,
136,fall;,not,digitized,,3,short,,,
137,QY#HG#MR1s2#R#dpat#6141#03,dpat,3,short,tb,,,,
138,QY#HG#MR1s2#R#sr95#6205#03,sr95,3,short,tb,,,,
139,QY#HG#MR1s2#R#sch2#6161#03,sch2,3,short,tb,,,,
140,lost,sectioning,,3,short,,,,
141,cell,body,stain,-,section,32,AG,3,short
142,QY#HG#MR1s2#R#rx82#6157#03,rx82,3,short,tb,,,,
143,QY#HG#MR1s2#R#afdx#6197#03,afdx,3,short,tb,,,,
144,QY#HG#MR1s2#R#dpog#6177#03,dpog,3,short,tb,,,,
145,myelin,stain,-,section,41,MS,3,short,
146,QY#HG#MR1s2#R#dpmg#6181#03,dpmg,3,short,tb,,,,
147,spare;,in,freezer,,3,short,,,
148,QY#HG#MR1s2#R#ly34#6201#03,ly34,3,short,tb,,,,
149,lost,sectioning,,3,short,,,,
150,QY#HG#MR1s2#R#cpog#6169#03,cpog,3,short,tb,,,,
151,QY#HG#MR1s2#R#cpmg#6173#03,cpmg,3,short,tb,,,,
152,QY#HG#MR1s2#R#keta#6145#03,keta,3,short,tb,,,,
153,QY#HG#MR1S2#R#pire#9513#03,pire,3,short,tb,,,,
154,damg;,not,digitized,,3,short,,,
155,dpdp;,not,digitized,,3,short,,,
156,spare;,in,freezer,,3,short,,,
157,spare;,in,freezer,,3,short,,,
158,spare;,in,freezer,,3,short,,,
159,spare;,in,freezer,,3,short,,,
160,spare;,in,freezer,,3,short,,,
161,spare;,in,freezer,,3,short,,,
162,spare;,in,freezer,,3,short,,,
163,spare;,in,freezer,,3,short,,,
164,QY#HG#MR1s2#R#ampa#6117#04,ampa,4,short,tb,,,,
165,lost,sectioning,,4,short,,,,
166,lost,sectioning,,4,short,,,,
167,QY#HG#MR1s2#R#kain#6121#04,kain,4,short,tb,,,,
168,QY#HG#MR1s2#R#mk80#6125#04,mk80,4,short,tb,,,,
169,QY#HG#MR1s2#R#musc#6129#04,musc,4,short,tb,,,,
170,QY#HG#MR1s2#R#cgp5#6185#04,cgp5,4,short,tb,,,,
171,QY#HG#MR1s2#R#flum#6189#04,flum,4,short,tb,,,,
172,cell,body,stain,-,section,13,AG,4,short
173,QY#HG#MR1s2#R#oxot#6137#04,oxot,4,short,tb,,,,
174,lost,sectioning,,4,short,,,,
175,QY#HG#MR1s2#R#damp#6193#04,damp,4,short,tb,,,,
