number,name,ligand / staining,repeat,length,TB/UB
1,RD#HG#MR1s3#R#ampa#5751#01,ampa,1,short,tb
2,RD#HG#MR1s3#R#kain#5755#01,kain,1,short,tb
3,RD#HG#MR1s3#R#mk80#5759#01,mk80,1,short,tb
4,RD#HG#MR1s3#R#musc#5763#01,musc,1,short,tb
5,RD#HG#MR1s3#R#cgp5#5819#01,cgp5,1,short,tb
6,RD#HG#MR1s3#R#flum#5823#01,flum,1,short,tb
7,cell body stain - section 13,AG,1,short,
8,lost sectioning,,1,short,
9,RD#HG#MR1s3#R#oxot#5771#01,oxot,1,short,tb
10,RD#HG#MR1s3#R#damp#5827#01,damp,1,short,tb
11,myelin stain - section 20,MS,1,short,
12,RD#HG#MR1s3#R#epib#5799#01,epib,1,short,tb
13,RD#HG#MR1s3#R#praz#5783#01,praz,1,short,tb
14,RD#HG#MR1s3#R#uk14#5787#01,uk14,1,short,tb
15,spare; in freezer,,1,short,
16,RD#HG#MR1s3#R#dpat#5775#01,dpat,1,short,tb
17,RD#HG#MR1s3#R#sr95#5839#01,sr95,1,short,tb
18,lost sectioning,,1,short,
19,cell body stain - section 32,AG,1,short,
20,RD#HG#MR1s3#R#sch2#5795#01,sch2,1,short,tb
21,RD#HG#MR1s3#R#rx82#5791#01,rx82,1,short,tb
22,lost sectioning,,1,short,
23,RD#HG#MR1s3#R#afdx#5831#01,afdx,1,short,tb
24,RD#HG#MR1s3#R#dpog#5811#01,dpog,1,short,tb
25,lost sectioning,,1,short,
26,myelin stain - section 41,MS,1,short,
27,RD#HG#MR1s3#R#dpmg#5815#01,dpmg,1,short,tb
28,spare; in freezer,,1,short,
29,lost sectioning,,1,short,
30,RD#HG#MR1s3#R#ly34#5835#01,ly34,1,short,tb
31,RD#HG#MR1s3#R#cpog#5803#01,cpog,1,short,tb
32,lost sectioning,,1,short,
33,lost sectioning,,1,short,
34,lost sectioning,,1,short,
35,lost sectioning,,1,short,
36,RD#HG#MR1s3#R#cpmg#5807#01,cpmg,1,short,tb
37,RD#HG#MR1s3#R#keta#5779#01,keta,1,short,tb
38,lost sectioning,,1,short,
39,spare; in freezer,,1,short,
40,damg; not digitized,,1,short,
41,RD#HG#MR1S3#R#pire#9518#01,pire,1,short,tb
42,dpdp; not digitized,,1,short,
43,spare; in freezer,,1,short,
44,spare; in freezer,,1,short,
45,spare; in freezer,,1,short,
