,name,number
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#damp#7012#25#L.TIF,0.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2S1#L#rx82#9458#07#L.TIF,1.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#epib#6560#12#L.TIF,2.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2S1#L#praz#7041#12#L.TIF,3.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#uk14#7055#21#L.TIF,4.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#ly34#7057#23#L.TIF,5.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#keta#6556#15#L.TIF,6.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#damp#7012#19#L.TIF,7.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#oxot#7044#07#L.TIF,8.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#mk80#7029#01#L.TIF,9.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#flum#7010#26#L.TIF,10.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#dpmg#7022#22#L.TIF,11.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#ampa#7023#10#L.TIF,12.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#sr95#7059#01#L.TIF,13.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2S1#L#dpat#7067#25#L.TIF,14.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#sr95#7060#24#L.TIF,15.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#ly34#7057#22#L.TIF,16.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#oxot#7044#14#L.TIF,17.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#sr95#7060#20#L.TIF,18.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2S1#L#keta#7047#04#L.TIF,19.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#sch2#6558#01#L.TIF,20.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2S1#L#oxot#7046#22#L.TIF,21.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#mk80#7030#17#L.TIF,22.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2S1#L#pire#9538#24#L.TIF,23.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#kain#7026#11#L.TIF,24.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#ampa#7024#16#L.TIF,25.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#dpat#6555#24#L.TIF,26.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#ly34#7057#21#L.TIF,27.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#ampa#7023#01#L.TIF,28.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#cgp5#7014#13#L.TIF,29.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2S1#L#sch2#7050#10#L.TIF,30.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#ly34#7056#09#L.TIF,31.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#ampa#7023#06#L.TIF,32.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#cgp5#7016#23#L.TIF,33.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2S1#L#keta#7047#06#L.TIF,34.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#cgp5#7014#12#L.TIF,35.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2S1#L#pire#9537#15#L.TIF,36.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2S1#L#rx82#9458#09#L.TIF,37.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2S1#L#keta#7047#10#L.TIF,38.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#damp#7011#01#L.TIF,39.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2S1#L#rx82#9459#20#L.TIF,40.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#ly34#7057#19#L.TIF,41.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#uk14#7055#24#L.TIF,42.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#uk14#7055#22#L.TIF,43.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#keta#6557#19#L.TIF,44.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#sch2#6559#23#L.TIF,45.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#flum#7008#02#L.TIF,46.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2S1#L#keta#7047#01#L.TIF,47.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#dpmg#7020#04#L.TIF,48.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#dpmg#7020#12#L.TIF,49.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#keta#6556#03#L.TIF,50.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#cgp5#7014#03#L.TIF,51.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#uk14#7053#06#L.TIF,52.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#ampa#7024#20#L.TIF,53.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#ampa#7023#05#L.TIF,54.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2S1#L#praz#7043#25#L.TIF,55.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#dpmg#7020#07#L.TIF,56.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#afdx#7038#02#L.TIF,57.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#oxot#7044#05#L.TIF,58.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#ampa#7024#19#L.TIF,59.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#damp#7011#12#L.TIF,60.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#sr95#7059#14#L.TIF,61.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#ly34#7056#17#L.TIF,62.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#uk14#7053#10#L.TIF,63.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2S1#L#rx82#9459#17#L.TIF,64.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#dpmg#7020#14#L.TIF,65.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2S1#L#praz#7041#01#L.TIF,66.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#musc#6404#02#L.TIF,67.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#sch2#6559#19#L.TIF,68.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2S1#L#keta#7049#21#L.TIF,69.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#ampa#7025#24#L.TIF,70.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2S1#L#rx82#9460#22#L.TIF,71.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#damp#7011#06#L.TIF,72.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2S1#L#rx82#9460#25#L.TIF,73.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#musc#6406#20#L.TIF,74.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#keta#6556#07#L.TIF,75.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#epib#6560#04#L.TIF,76.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2S1#L#praz#7043#22#L.TIF,77.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#dpmg#7021#16#L.TIF,78.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#afdx#7038#16#L.TIF,79.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#damp#7011#08#L.TIF,80.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#epib#6560#06#L.TIF,81.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#dpat#6554#14#L.TIF,82.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#musc#6406#18#L.TIF,83.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#afdx#7038#17#L.TIF,84.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#oxot#7045#15#L.TIF,85.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#cgp5#7015#18#L.TIF,86.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#flum#7010#25#L.TIF,87.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#damp#7011#16#L.TIF,88.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#epib#6560#02#L.TIF,89.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_1/QJ#HG#MR2s1#L#mk80#7030#19#L.TIF,90.0
