,name,number
0,/data1/users/tfunck/receptor/MR3/img_lin/R_slab_4/QR#hg#MR3s4#R#mk80#4946#25#L.TIF,0.0
0,/data1/users/tfunck/receptor/MR3/img_lin/R_slab_4/QR#hg#MR3s4#R#sch2#4947#08#L.TIF,1.0
0,/data1/users/tfunck/receptor/MR3/img_lin/R_slab_4/QR#hg#MR3s4#R#ly34#4938#09#L.TIF,2.0
0,/data1/users/tfunck/receptor/MR3/img_lin/R_slab_4/QR#hg#MR3s4#R#dpat#4989#16#L.TIF,3.0
0,/data1/users/tfunck/receptor/MR3/img_lin/R_slab_4/QR#hg#MR3s4#R#sch2#4947#03#L.TIF,4.0
0,/data1/users/tfunck/receptor/MR3/img_lin/R_slab_4/QR#HG#MR3S4#R#pire#9633#08#L.TIF,5.0
0,/data1/users/tfunck/receptor/MR3/img_lin/R_slab_4/QR#hg#MR3s4#R#rx82#4992#07#L.TIF,6.0
0,/data1/users/tfunck/receptor/MR3/img_lin/R_slab_4/QR#hg#MR3s4#R#afdx#4916#25#L.TIF,7.0
0,/data1/users/tfunck/receptor/MR3/img_lin/R_slab_4/QR#hg#MR3s4#R#praz#4974#15#L.TIF,8.0
0,/data1/users/tfunck/receptor/MR3/img_lin/R_slab_4/QR#hg#MR3s4#R#cgp5#4968#11#L.TIF,9.0
0,/data1/users/tfunck/receptor/MR3/img_lin/R_slab_4/QR#hg#MR3s4#R#kain#4978#11#L.TIF,10.0
0,/data1/users/tfunck/receptor/MR3/img_lin/R_slab_4/QR#hg#MR3s4#R#oxot#4953#13#L.TIF,11.0
0,/data1/users/tfunck/receptor/MR3/img_lin/R_slab_4/QR#hg#MR3s4#R#ampa#4985#20#L.TIF,12.0
0,/data1/users/tfunck/receptor/MR3/img_lin/R_slab_4/QR#hg#MR3s4#R#oxot#4952#01#L.TIF,13.0
0,/data1/users/tfunck/receptor/MR3/img_lin/R_slab_4/QR#HG#MR3S4#R#pire#9635#18#L.TIF,14.0
0,/data1/users/tfunck/receptor/MR3/img_lin/R_slab_4/QR#hg#MR3s4#R#afdx#4913#09#L.TIF,15.0
0,/data1/users/tfunck/receptor/MR3/img_lin/R_slab_4/QR#hg#MR3s4#R#rx82#4992#08#L.TIF,16.0
0,/data1/users/tfunck/receptor/MR3/img_lin/R_slab_4/QR#hg#MR3s4#R#kain#4977#03#L.TIF,17.0
0,/data1/users/tfunck/receptor/MR3/img_lin/R_slab_4/QR#hg#MR3s4#R#kain#4981#26#L.TIF,18.0
0,/data1/users/tfunck/receptor/MR3/img_lin/R_slab_4/QR#hg#MR3s4#R#keta#4966#24#L.TIF,19.0
0,/data1/users/tfunck/receptor/MR3/img_lin/R_slab_4/QR#hg#MR3s4#R#oxot#4954#16#L.TIF,20.0
0,/data1/users/tfunck/receptor/MR3/img_lin/R_slab_4/QR#hg#MR3s4#R#praz#4976#22#L.TIF,21.0
0,/data1/users/tfunck/receptor/MR3/img_lin/R_slab_4/QR#hg#MR3s4#R#mk80#4942#03#L.TIF,22.0
0,/data1/users/tfunck/receptor/MR3/img_lin/R_slab_4/QR#hg#MR3s4#R#uk14#4907#01#L.TIF,23.0
0,/data1/users/tfunck/receptor/MR3/img_lin/R_slab_4/QR#hg#MR3s4#R#ampa#4984#15#L.TIF,24.0
0,/data1/users/tfunck/receptor/MR3/img_lin/R_slab_4/QR#hg#MR3s4#R#damp#4958#12#L.TIF,25.0
0,/data1/users/tfunck/receptor/MR3/img_lin/R_slab_4/QR#hg#MR3s4#R#kain#4977#05#L.TIF,26.0
0,/data1/users/tfunck/receptor/MR3/img_lin/R_slab_4/QR#hg#MR3s4#R#ly34#4937#04#L.TIF,27.0
0,/data1/users/tfunck/receptor/MR3/img_lin/R_slab_4/QR#hg#MR3s4#R#dpat#4989#14#L.TIF,28.0
0,/data1/users/tfunck/receptor/MR3/img_lin/R_slab_4/QR#hg#MR3s4#R#keta#4962#03#L.TIF,29.0
0,/data1/users/tfunck/receptor/MR3/img_lin/R_slab_4/QR#hg#MR3s4#R#rx82#4994#18#L.TIF,30.0
0,/data1/users/tfunck/receptor/MR3/img_lin/R_slab_4/QR#hg#MR3s4#R#uk14#4907#08#L.TIF,31.0
0,/data1/users/tfunck/receptor/MR3/img_lin/R_slab_4/QR#hg#MR3s4#R#damp#4957#02#L.TIF,32.0
0,/data1/users/tfunck/receptor/MR3/img_lin/R_slab_4/QR#hg#MR3s4#R#sr95#6530#13#L.TIF,33.0
0,/data1/users/tfunck/receptor/MR3/img_lin/R_slab_4/QR#hg#MR3s4#R#sr95#6533#21#L.TIF,34.0
0,/data1/users/tfunck/receptor/MR3/img_lin/R_slab_4/QR#hg#MR3s4#R#cgp5#4967#02#L.TIF,35.0
0,/data1/users/tfunck/receptor/MR3/img_lin/R_slab_4/QR#hg#MR3s4#R#praz#4972#06#L.TIF,36.0
0,/data1/users/tfunck/receptor/MR3/img_lin/R_slab_4/QR#hg#MR3s4#R#epib#4929#15#L.TIF,37.0
0,/data1/users/tfunck/receptor/MR3/img_lin/R_slab_4/QR#HG#MR3S4#R#pire#9633#10#L.TIF,38.0
0,/data1/users/tfunck/receptor/MR3/img_lin/R_slab_4/QR#hg#MR3s4#R#oxot#4956#24#L.TIF,39.0
