number,name,ligand / staining,Repeat,length,TB/UB
1035,RE#hg#MR1s4#R#ampa#5843#01,ampa,1,short,tb
1034,RE#hg#MR1s4#R#kain#5847#01,kain,1,short,tb
1033,lost sectioning,,1,short,
1032,mk80 - section lost,mk80,1,short,tb
1031,lost sectioning,,1,short,
1030,lost sectioning,,1,short,
1029,RE#hg#MR1s4#R#musc#5855#01,musc,1,short,tb
1028,RE#hg#MR1s4#R#cgp5#5911#01,cgp5,1,short,tb
1027,RE#HG#MR1S4#R#flum#5915#01,flum,1,short,tb
1026,cell body stain - section 13,AG,1,short,
1025,lost sectioning,,1,short,
1024,RE#hg#MR1s4#R#oxot#5863#01,oxot,1,short,tb
1023,RE#hg#MR1s4#R#damp#5919#01,damp,1,short,tb
1022,myelin stain - section 20,MS,1,short,
1021,RE#hg#MR1s4#R#epib#5891#01,epib,1,short,tb
1020,RE#hg#MR1s4#R#praz#5875#01,praz,1,short,tb
1019,RE#hg#MR1s4#R#uk14#5879#01,uk14,1,short,tb
1018,spare; in freezer,,1,short,
1017,RE#HG#MR1s4#R#dpat#5867#01,dpat,1,short,tb
1016,RE#hg#MR1s4#R#sr95#5931#01,sr95,1,short,tb
1015,cell body stain - section 32,AG,1,short,
1014,RE#hg#MR1s4#R#sch2#5887#01,sch2,1,short,tb
1013,RE#hg#MR1s4#R#rx82#5883#01,rx82,1,short,tb
1012,RE#hg#MR1s4#R#afdx#5923#01,afdx,1,short,tb
1011,spare; in freezer,,1,short,
1010,RE#hg#MR1s4#R#dpog#5903#01,dpog,1,short,tb
1009,myelin stain - section 41,MS,1,short,
1008,RE#hg#MR1s4#R#dpmg#5907#01,dpmg,1,short,tb
1007,RE#HG#MR1S4#R#pire#9523#01,pire,1,short,tb
1006,RE#hg#MR1s4#R#ly34#5927#01,ly34,1,short,tb
1005,RE#hg#MR1s4#R#cpog#5895#01,cpog,1,short,tb
1004,RE#hg#MR1s4#R#cpmg#5899#01,cpmg,1,short,tb
1003,RE#hg#MR1s4#R#keta#5871#01,keta,1,short,tb
1002,spare; in freezer,,1,short,
1001,damg; not digitized,,1,short,
1000,spare; in freezer,,1,short,
999,dpdp; not digitized,,1,short,
998,spare; in freezer,,1,short,
997,spare; in freezer,,1,short,
996,spare; in freezer,,1,short,
995,spare; in freezer,,1,short,
994,spare; in freezer,,1,short,
993,spare; in freezer,,1,short,
992,lost sectioning,,1,short,
991,lost sectioning,,1,short,
990,lost sectioning,,1,short,
989,lost sectioning,,1,short,
988,lost sectioning,,1,short,
987,lost sectioning,,1,short,
986,RE#hg#MR1s4#R#ampa#5843#02,ampa,2,short,tb
985,RE#hg#MR1s4#R#kain#5847#02,kain,2,short,tb
984,RE#hg#MR1s4#R#mk80#5851#02,mk80,2,short,tb
983,RE#hg#MR1s4#R#musc#5855#02,musc,2,short,tb
982,RE#hg#MR1s4#R#cgp5#5911#02,cgp5,2,short,tb
981,RE#HG#MR1S4#R#flum#5915#02,flum,2,short,tb
980,cell body stain - section 13,AG,2,short,
979,lost sectioning,,2,short,
978,lost sectioning,,2,short,
977,lost sectioning,,2,short,
976,RE#hg#MR1s4#R#oxot#5863#02,oxot,2,short,tb
975,RE#hg#MR1s4#R#damp#5919#02,damp,2,short,tb
974,myelin stain - section 20,MS,2,short,
973,lost sectioning,,2,short,
972,RE#hg#MR1s4#R#epib#5891#02,epib,2,short,tb
971,lost sectioning,,2,short,
970,RE#hg#MR1s4#R#praz#5875#02,praz,2,short,tb
969,RE#hg#MR1s4#R#uk14#5879#02,uk14,2,short,tb
968,spare; in freezer,,2,short,
967,RE#HG#MR1s4#R#dpat#5867#02,dpat,2,short,tb
966,lost sectioning,,2,short,
965,RE#hg#MR1s4#R#sr95#5931#02,sr95,2,short,tb
964,cell body stain - section 32,AG,2,short,
963,RE#hg#MR1s4#R#sch2#5887#02,sch2,2,short,tb
962,RE#hg#MR1s4#R#rx82#5883#02,rx82,2,short,tb
961,lost sectioning,,2,short,
960,lost sectioning,,2,short,
959,lost sectioning,,2,short,
958,RE#hg#MR1s4#R#afdx#5923#02,afdx,2,short,tb
957,RE#hg#MR1s4#R#dpog#5903#02,dpog,2,short,tb
956,myelin stain - section 41,MS,2,short,
955,RE#hg#MR1s4#R#dpmg#5907#02,dpmg,2,short,tb
954,RE#HG#MR1S4#R#pire#9523#02,pire,2,short,tb
953,spare; in freezer,,2,short,
952,RE#hg#MR1s4#R#ly34#5927#02,ly34,2,short,tb
951,RE#hg#MR1s4#R#cpog#5895#02,cpog,2,short,tb
950,RE#hg#MR1s4#R#cpmg#5899#02,cpmg,2,short,tb
949,RE#hg#MR1s4#R#keta#5871#02,keta,2,short,tb
948,spare; in freezer,,2,short,
947,spare; in freezer,,2,short,
946,spare; in freezer,,2,short,
945,spare; in freezer,,2,short,
944,damg; not digitized,,2,short,
943,spare; in freezer,,2,short,
942,dpdp; not digitized,,2,short,
941,spare; in freezer,,2,short,
940,spare; in freezer,,2,short,
939,spare; in freezer,,2,short,
938,lost sectioning,,2,short,
937,lost sectioning,,2,short,
936,lost sectioning,,2,short,
935,lost sectioning,,2,short,
934,RE#hg#MR1s4#R#ampa#5843#03,ampa,3,short,tb
933,RE#hg#MR1s4#R#kain#5847#03,kain,3,short,tb
932,RE#hg#MR1s4#R#mk80#5851#03,mk80,3,short,tb
931,lost sectioning,,3,short,
930,RE#hg#MR1s4#R#musc#5855#03,musc,3,short,tb
929,RE#hg#MR1s4#R#cgp5#5911#03,cgp5,3,short,tb
928,RE#HG#MR1S4#R#flum#5915#03,flum,3,short,tb
927,lost sectioning,,3,short,
926,lost sectioning,,3,short,
925,cell body stain - section 13,AG,3,short,
924,lost sectioning,,3,short,
923,lost sectioning,,3,short,
922,RE#hg#MR1s4#R#oxot#5863#03,oxot,3,short,tb
921,RE#hg#MR1s4#R#damp#5919#03,damp,3,short,tb
920,myelin stain - section 20,MS,3,short,
919,lost sectioning,,3,short,
918,lost sectioning,,3,short,
917,lost sectioning,,3,short,
916,RE#hg#MR1s4#R#epib#5891#03,epib,3,short,tb
915,RE#hg#MR1s4#R#praz#5875#03,praz,3,short,tb
914,RE#hg#MR1s4#R#uk14#5879#03,uk14,3,short,tb
913,spare; in freezer,,3,short,
912,RE#HG#MR1s4#R#dpat#5867#03,dpat,3,short,tb
911,RE#hg#MR1s4#R#sr95#5931#03,sr95,3,short,tb
910,cell body stain - section 32,AG,3,short,
909,RE#hg#MR1s4#R#sch2#5887#03,sch2,3,short,tb
908,lost sectioning,,3,short,
907,lost sectioning,,3,short,
906,lost sectioning,,3,short,
905,lost sectioning,,3,short,
904,RE#hg#MR1s4#R#rx82#5883#03,rx82,3,short,tb
903,RE#hg#MR1s4#R#afdx#5923#03,afdx,3,short,tb
902,lost sectioning,,3,short,
901,lost sectioning,,3,short,
900,spare; in freezer,,3,short,
899,RE#hg#MR1s4#R#dpog#5903#03,dpog,3,short,tb
898,myelin stain - section 41,MS,3,short,
897,RE#hg#MR1s4#R#dpmg#5907#03,dpmg,3,short,tb
896,RE#HG#MR1S4#R#pire#9523#03,pire,3,short,tb
895,RE#hg#MR1s4#R#ly34#5927#03,ly34,3,short,tb
894,RE#hg#MR1s4#R#cpog#5895#03,cpog,3,short,tb
893,RE#hg#MR1s4#R#cpmg#5899#03,cpmg,3,short,tb
892,lost sectioning,,3,short,
891,RE#hg#MR1s4#R#keta#5871#03,keta,3,short,tb
890,spare; in freezer,,3,short,
889,damg; not digitized,,3,short,
888,spare; in freezer,,3,short,
887,dpdp; not digitized,,3,short,
886,spare; in freezer,,3,short,
885,spare; in freezer,,3,short,
884,spare; in freezer,,3,short,
883,spare; in freezer,,3,short,
882,spare; in freezer,,3,short,
881,spare; in freezer,,3,short,
880,lost sectioning,,3,short,
879,lost sectioning,,3,short,
878,lost sectioning,,3,short,
877,lost sectioning,,3,short,
876,lost sectioning,,3,short,
875,RE#hg#MR1s4#R#ampa#5843#04,ampa,4,short,tb
874,RE#hg#MR1s4#R#kain#5847#04,kain,4,short,tb
873,RE#hg#MR1s4#R#mk80#5851#04,mk80,4,short,tb
872,RE#hg#MR1s4#R#musc#5855#04,musc,4,short,tb
871,lost sectioning,,4,short,
870,RE#hg#MR1s4#R#cgp5#5911#04,cgp5,4,short,tb
869,RE#HG#MR1S4#R#flum#5915#04,flum,4,short,tb
868,cell body stain - section 13,AG,4,short,
867,lost sectioning,,4,short,
866,RE#hg#MR1s4#R#oxot#5863#04,oxot,4,short,tb
865,RE#hg#MR1s4#R#damp#5919#04,damp,4,short,tb
864,lost sectioning,,4,short,
863,myelin stain - section 20,MS,4,short,
862,RE#hg#MR1s4#R#epib#5891#04,epib,4,short,tb
861,RE#hg#MR1s4#R#praz#5875#04,praz,4,short,tb
860,RE#hg#MR1s4#R#uk14#5879#04,uk14,4,short,tb
859,spare; in freezer,,4,short,
858,RE#HG#MR1s4#R#dpat#5867#04,dpat,4,short,tb
857,RE#hg#MR1s4#R#sr95#5931#04,sr95,4,short,tb
856,cell body stain - section 32,AG,4,short,
855,RE#hg#MR1s4#R#sch2#5887#04,sch2,4,short,tb
854,RE#hg#MR1s4#R#rx82#5883#04,rx82,4,short,tb
853,RE#hg#MR1s4#R#afdx#5923#04,afdx,4,short,tb
852,RE#hg#MR1s4#R#dpog#5903#04,dpog,4,short,tb
851,myelin stain - section 41,MS,4,short,
850,RE#hg#MR1s4#R#dpmg#5907#04,dpmg,4,short,tb
849,RE#HG#MR1S4#R#pire#9523#04,pire,4,short,tb
