number,name,ligand / staining,Repeat,length,TB/UB,orig_number
1137,RF#hg#MR1s5#R#ampa#6213#01,ampa,1,short,tb,1
1136,RF#hg#MR1s5#R#kain#6217#01,kain,1,short,tb,2
1135,lost sectioning,,1,short,,3
1134,RF#hg#MR1s5#R#mk80#6221#01,mk80,1,short,tb,4
1133,RF#hg#MR1s5#R#musc#6225#01,musc,1,short,tb,5
1132,lost sectioning,,1,short,,6
1131,lost sectioning,,1,short,,7
1130,lost sectioning,,1,short,,8
1129,RF#hg#MR1s5#R#cgp5#6281#01,cgp5,1,short,tb,9
1128,lost sectioning,,1,short,,10
1127,lost sectioning,,1,short,,11
1126,lost sectioning,,1,short,,12
1125,lost sectioning,,1,short,,13
1124,lost sectioning,,1,short,,14
1123,RF#hg#MR1s5#R#flum#6285#01,flum,1,short,tb,15
1122,cell body stain - section 13,AG,1,short,,16
1121,lost sectioning,,1,short,,17
1120,lost sectioning,,1,short,,18
1119,lost sectioning,,1,short,,19
1118,lost sectioning,,1,short,,20
1117,lost sectioning,,1,short,,21
1116,RF#hg#MR1s5#R#oxot#6233#01,oxot,1,short,tb,22
1115,RF#hg#MR1s5#R#damp#6289#01,damp,1,short,tb,23
1114,lost sectioning,,1,short,,24
1113,myelin stain - section 20,MS,1,short,,25
1112,RF#hg#MR1s5#R#epib#6261#01,epib,1,short,tb,26
1111,lost sectioning,,1,short,,27
1110,RF#hg#MR1s5#R#praz#6245#01,praz,1,short,tb,28
1109,lost sectioning,,1,short,,29
1108,lost sectioning,,1,short,,30
1107,RF#hg#MR1s5#R#uk14#6249#01,uk14,1,short,tb,31
1106,spare; in freezer,,1,short,,32
1105,RF#hg#MR1s5#R#dpat#6237#01,dpat,1,short,tb,33
1104,RF#hg#MR1s5#R#sr95#6301#01,sr95,1,short,tb,34
1103,cell body stain - section 32,AG,1,short,,35
1102,RF#hg#MR1s5#R#sch2#6257#01,sch2,1,short,tb,36
1101,lost sectioning,,1,short,,37
1100,RF#hg#MR1s5#R#rx82#6253#01,rx82,1,short,tb,38
1099,RF#hg#MR1s5#R#afdx#6293#01,afdx,1,short,tb,39
1098,RF#hg#MR1s5#R#dpog#6273#01,dpog,1,short,tb,40
1097,myelin stain - section 41,MS,1,short,,41
1096,RF#hg#MR1s5#R#cpmg#6269#01,cpmg,1,short,tb,42
1095,RF#hg#MR1s5#R#dpmg#6277#01,dpmg,1,short,tb,43
1094,RF#hg#MR1s5#R#ly34#6297#01,ly34,1,short,tb,44
1093,RF#hg#MR1s5#R#cpog#6265#01,cpog,1,short,tb,45
1092,spare; in freezer,,1,short,,46
1091,lost sectioning,,1,short,,47
1090,RF#hg#MR1s5#R#keta#6241#01,keta,1,short,tb,48
1089,lost sectioning,,1,short,,49
1088,damg; not digitized,,1,short,,50
1087,spare; in freezer,,1,short,,51
1086,dpdp; not digitized,,1,short,,52
1085,spare; in freezer,,1,short,,53
1084,RF#HG#MR1S5#R#pire#9528#01,pire,1,short,tb,54
1083,spare; in freezer,,1,short,,55
1082,spare; in freezer,,1,short,,56
1081,spare; in freezer,,1,short,,57
1080,spare; in freezer,,1,short,,58
1079,lost sectioning,,1,short,,59
1078,lost sectioning,,1,short,,60
1077,lost sectioning,,1,short,,61
1076,lost sectioning,,1,short,,62
1075,lost sectioning,,1,short,,63
1074,RF#hg#MR1s5#R#ampa#6213#02,ampa,2,short,tb,64
1073,RF#hg#MR1s5#R#kain#6217#02,kain,2,short,tb,65
1072,lost sectioning,,2,short,,66
1071,lost sectioning,,2,short,,67
1070,RF#hg#MR1s5#R#mk80#6221#02,mk80,2,short,tb,68
1069,RF#hg#MR1s5#R#musc#6225#02,musc,2,short,tb,69
1068,RF#hg#MR1s5#R#cgp5#6281#02,cgp5,2,short,tb,70
