,name,number
0,/data1/users/tfunck/receptor/MR2/img_lin/R_slab_1/RO#HG#MR2S1#R#epib#7405#10#L.TIF,0.0
0,/data1/users/tfunck/receptor/MR2/img_lin/R_slab_1/Ro#HG#MR2s1#R#dpmg#7421#02#L.TIF,1.0
0,/data1/users/tfunck/receptor/MR2/img_lin/R_slab_1/Ro#HG#MR2s1#R#rx82#7400#23#L.TIF,2.0
0,/data1/users/tfunck/receptor/MR2/img_lin/R_slab_1/RO#HG#MR2s1#R#cgp5#7425#07#L.TIF,3.0
0,/data1/users/tfunck/receptor/MR2/img_lin/R_slab_1/Ro#HG#MR2s1#R#oxot#7379#19#L.TIF,4.0
0,/data1/users/tfunck/receptor/MR2/img_lin/R_slab_1/Ro#HG#MR2s1#R#mk80#7365#05#L.TIF,5.0
0,/data1/users/tfunck/receptor/MR2/img_lin/R_slab_1/Ro#HG#MR2s1#R#dpmg#7423#19#L.TIF,6.0
0,/data1/users/tfunck/receptor/MR2/img_lin/R_slab_1/RO#HG#MR2S1#R#cgp5#7428#23#L.TIF,7.0
0,/data1/users/tfunck/receptor/MR2/img_lin/R_slab_1/Ro#HG#MR2s1#R#afdx#7439#18#L.TIF,8.0
0,/data1/users/tfunck/receptor/MR2/img_lin/R_slab_1/Ro#HG#MR2s1#R#flum#7429#01#L.TIF,9.0
0,/data1/users/tfunck/receptor/MR2/img_lin/R_slab_1/Ro#HG#MR2s1#R#epib#7408#23#L.TIF,10.0
0,/data1/users/tfunck/receptor/MR2/img_lin/R_slab_1/Ro#HG#MR2s1#R#damp#7433#12#L.TIF,11.0
0,/data1/users/tfunck/receptor/MR2/img_lin/R_slab_1/Ro#HG#MR2s1#R#dpat#7384#24#L.TIF,12.0
0,/data1/users/tfunck/receptor/MR2/img_lin/R_slab_1/Ro#HG#MR2s1#R#damp#7434#16#L.TIF,13.0
0,/data1/users/tfunck/receptor/MR2/img_lin/R_slab_1/RO#HG#MR2s1#R#pire#9562#04#L.TIF,14.0
0,/data1/users/tfunck/receptor/MR2/img_lin/R_slab_1/Ro#HG#MR2s1#R#afdx#7437#10#L.TIF,15.0
0,/data1/users/tfunck/receptor/MR2/img_lin/R_slab_1/Ro#HG#MR2s1#R#flum#7430#17#L.TIF,16.0
0,/data1/users/tfunck/receptor/MR2/img_lin/R_slab_1/Ro#HG#MR2s1#R#flum#7429#05#L.TIF,17.0
0,/data1/users/tfunck/receptor/MR2/img_lin/R_slab_1/Ro#HG#MR2s1#R#afdx#7437#02#L.TIF,18.0
0,/data1/users/tfunck/receptor/MR2/img_lin/R_slab_1/Ro#HG#MR2s1#R#praz#7389#09#L.TIF,19.0
0,/data1/users/tfunck/receptor/MR2/img_lin/R_slab_1/Ro#HG#MR2s1#R#dpat#7381#03#L.TIF,20.0
0,/data1/users/tfunck/receptor/MR2/img_lin/R_slab_1/Ro#HG#MR2s1#R#dpmg#7421#06#L.TIF,21.0
0,/data1/users/tfunck/receptor/MR2/img_lin/R_slab_1/Ro#HG#MR2s1#R#oxot#7378#13#L.TIF,22.0
0,/data1/users/tfunck/receptor/MR2/img_lin/R_slab_1/Ro#HG#MR2s1#R#mk80#7365#08#L.TIF,23.0
0,/data1/users/tfunck/receptor/MR2/img_lin/R_slab_1/Ro#HG#MR2s1#R#musc#7369#06#L.TIF,24.0
0,/data1/users/tfunck/receptor/MR2/img_lin/R_slab_1/Ro#HG#MR2s1#R#afdx#7440#22#L.TIF,25.0
0,/data1/users/tfunck/receptor/MR2/img_lin/R_slab_1/Ro#HG#MR2s1#R#afdx#7437#07#L.TIF,26.0
0,/data1/users/tfunck/receptor/MR2/img_lin/R_slab_1/Ro#HG#MR2s1#R#dpat#7381#07#L.TIF,27.0
0,/data1/users/tfunck/receptor/MR2/img_lin/R_slab_1/Ro#HG#MR2s1#R#musc#7370#18#L.TIF,28.0
0,/data1/users/tfunck/receptor/MR2/img_lin/R_slab_1/Ro#HG#MR2s1#R#epib#7407#21#L.TIF,29.0
0,/data1/users/tfunck/receptor/MR2/img_lin/R_slab_1/Ro#HG#MR2s1#R#kain#7361#01#L.TIF,30.0
0,/data1/users/tfunck/receptor/MR2/img_lin/R_slab_1/Ro#HG#MR2s1#R#dpmg#7421#09#L.TIF,31.0
0,/data1/users/tfunck/receptor/MR2/img_lin/R_slab_1/Ro#HG#MR2s1#R#kain#7363#21#L.TIF,32.0
0,/data1/users/tfunck/receptor/MR2/img_lin/R_slab_1/Ro#HG#MR2s1#R#sr95#7446#17#L.TIF,33.0
0,/data1/users/tfunck/receptor/MR2/img_lin/R_slab_1/Ro#HG#MR2s1#R#ly34#7441#04#L.TIF,34.0
0,/data1/users/tfunck/receptor/MR2/img_lin/R_slab_1/Ro#HG#MR2s1#R#oxot#7377#04#L.TIF,35.0
0,/data1/users/tfunck/receptor/MR2/img_lin/R_slab_1/Ro#HG#MR2s1#R#kain#7361#07#L.TIF,36.0
0,/data1/users/tfunck/receptor/MR2/img_lin/R_slab_1/Ro#HG#MR2s1#R#ampa#7357#06#L.TIF,37.0
0,/data1/users/tfunck/receptor/MR2/img_lin/R_slab_1/Ro#HG#MR2s1#R#kain#7363#19#L.TIF,38.0
0,/data1/users/tfunck/receptor/MR2/img_lin/R_slab_1/Ro#HG#MR2s1#R#ly34#7443#19#L.TIF,39.0
0,/data1/users/tfunck/receptor/MR2/img_lin/R_slab_1/Ro#HG#MR2s1#R#keta#7385#11#L.TIF,40.0
0,/data1/users/tfunck/receptor/MR2/img_lin/R_slab_1/Ro#HG#MR2s1#R#dpmg#7423#18#L.TIF,41.0
0,/data1/users/tfunck/receptor/MR2/img_lin/R_slab_1/RO#HG#MR2s1#R#pire#9562#03#L.TIF,42.0
0,/data1/users/tfunck/receptor/MR2/img_lin/R_slab_1/Ro#HG#MR2s1#R#dpat#7381#10#L.TIF,43.0
0,/data1/users/tfunck/receptor/MR2/img_lin/R_slab_1/Ro#HG#MR2s1#R#uk14#7394#13#L.TIF,44.0
0,/data1/users/tfunck/receptor/MR2/img_lin/R_slab_1/RO#HG#MR2s1#R#pire#9564#21#L.TIF,45.0
0,/data1/users/tfunck/receptor/MR2/img_lin/R_slab_1/Ro#HG#MR2s1#R#sr95#7445#06#L.TIF,46.0
