,name,number
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#hg#MR3s2#L#praz#7210#19#L.TIF,0.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#hg#MR3s2#L#rx82#7227#27#L.TIF,1.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#hg#MR3s2#L#sch2#7231#16#L.TIF,2.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#HG#MR3s2#L#pire#9594#07#L.TIF,3.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#hg#MR3s2#L#mk80#7170#24#L.TIF,4.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#hg#MR3s2#L#epib#7235#05#L.TIF,5.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#hg#MR3s2#L#uk14#7214#05#L.TIF,6.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#HG#MR3s2#L#flum#7279#15#L.TIF,7.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#hg#MR3s2#L#mk80#7165#04#L.TIF,8.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#hg#MR3s2#L#sch2#7229#11#L.TIF,9.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#HG#MR3s2#L#dpmg#7266#16#L.TIF,10.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#hg#MR3s2#L#damp#7284#03#L.TIF,11.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#hg#MR3s2#L#uk14#7220#25#L.TIF,12.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#hg#MR3s2#L#uk14#7217#17#L.TIF,13.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#hg#MR3s2#L#dpmg#7263#08#L.TIF,14.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#HG#MR3s2#L#dpmg#7264#10#L.TIF,15.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#hg#MR3s2#L#sr95#7305#01#L.TIF,16.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#hg#MR3s2#L#sr95#7311#27#L.TIF,17.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#hg#MR3s2#L#musc#7178#28#L.TIF,18.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#hg#MR3s2#L#dpat#7199#28#L.TIF,19.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#hg#MR3s2#L#ly34#7300#12#L.TIF,20.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#hg#MR3s2#L#sr95#7305#02#L.TIF,21.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#HG#MR3s2#L#flum#7277#06#L.TIF,22.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#hg#MR3s2#L#oxot#7188#15#L.TIF,23.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#hg#MR3s2#L#musc#7173#11#L.TIF,24.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#hg#MR3s2#L#cgp5#7276#28#L.TIF,25.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#hg#MR3s2#L#dpat#7197#21#L.TIF,26.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#hg#MR3s2#L#ampa#7157#26#L.TIF,27.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#hg#MR3s2#L#kain#7160#14#L.TIF,28.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#hg#MR3s2#L#praz#7212#23#L.TIF,29.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#hg#MR3s2#L#rx82#7224#17#L.TIF,30.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#hg#MR3s2#L#kain#7162#21#L.TIF,31.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#hg#MR3s2#L#afdx#7293#13#L.TIF,32.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#hg#MR3s2#L#ly34#7301#16#L.TIF,33.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#hg#MR3s2#L#afdx#7294#19#L.TIF,34.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#hg#MR3s2#L#afdx#7291#04#L.TIF,35.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#hg#MR3s2#L#ly34#7298#06#L.TIF,36.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#hg#MR3s2#L#sch2#7231#19#L.TIF,37.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#hg#MR3s2#L#cgp5#7275#24#L.TIF,38.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#hg#MR3s2#L#kain#7164#27#L.TIF,39.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#hg#MR3s2#L#keta#7202#15#L.TIF,40.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#hg#MR3s2#L#damp#7286#15#L.TIF,41.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#hg#MR3s2#L#sr95#7307#12#L.TIF,42.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#hg#MR3s2#L#keta#7200#08#L.TIF,43.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#hg#MR3s2#L#praz#7211#21#L.TIF,44.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#HG#MR3s2#L#pire#9595#11#L.TIF,45.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#hg#MR3s2#L#damp#7289#22#L.TIF,46.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#hg#MR3s2#L#rx82#7227#28#L.TIF,47.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#hg#MR3s2#L#mk80#7171#25#L.TIF,48.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#hg#MR3s2#L#dpat#7194#10#L.TIF,49.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#hg#MR3s2#L#oxot#7192#27#L.TIF,50.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#hg#MR3s2#L#afdx#7294#17#L.TIF,51.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#hg#MR3s2#L#rx82#7225#22#L.TIF,52.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#hg#MR3s2#L#praz#7213#27#L.TIF,53.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#hg#MR3s2#L#mk80#7171#28#L.TIF,54.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#hg#MR3s2#L#musc#7172#04#L.TIF,55.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#HG#MR3s2#L#flum#7278#10#L.TIF,56.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#hg#MR3s2#L#afdx#7291#01#L.TIF,57.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#hg#MR3s2#L#oxot#7189#17#L.TIF,58.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#hg#MR3s2#L#epib#7235#01#L.TIF,59.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#HG#MR3s2#L#pire#9596#14#L.TIF,60.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#hg#MR3s2#L#praz#7213#26#L.TIF,61.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#hg#MR3s2#L#keta#7200#01#L.TIF,62.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#hg#MR3s2#L#praz#7209#13#L.TIF,63.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#hg#MR3s2#L#cgp5#7273#19#L.TIF,64.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#hg#MR3s2#L#keta#7201#09#L.TIF,65.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#hg#MR3s2#L#sch2#7234#27#L.TIF,66.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#HG#MR3s2#L#flum#7283#28#L.TIF,67.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#hg#MR3s2#L#afdx#7294#18#L.TIF,68.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#hg#MR3s2#L#musc#7172#08#L.TIF,69.0
0,/data1/users/tfunck/receptor/MR3/img_lin/L_slab_2/RU#hg#MR3s2#L#damp#7290#25#L.TIF,70.0
