Image,cmax_in_file,Ligand,SA,KD,l
ji#hg#0500s4#R#ampa#4481#01,ji4481.grt,ampa,40.9,10,11.4
ji#hg#0500s4#R#ampa#4481#02,ji4481.grt,ampa,40.9,10,11.4
ji#hg#0500s4#R#ampa#4481#03,ji4481.grt,ampa,40.9,10,11.4
ji#hg#0500s4#R#ampa#4482#04,ji4482.grt,ampa,40.9,10,11.4
ji#hg#0500s4#R#ampa#4482#05,ji4482.grt,ampa,40.9,10,11.4
ji#hg#0500s4#R#ampa#4483#06,ji4483.grt,ampa,40.9,10,11.4
ji#hg#0500s4#R#ampa#4483#07,ji4483.grt,ampa,40.9,10,11.4
ji#hg#0500s4#R#ampa#4484#08,ji4484.grt,ampa,40.9,10,11.4
ji#hg#0500s4#R#ampa#4484#09,ji4484.grt,ampa,40.9,10,11.4
ji#hg#0500s4#R#ampa#4484#10,ji4484.grt,ampa,40.9,10,11.4
ji#hg#0500s4#R#cgp5#4488#01,ji4488.grt,cgp5,40,1.48,1.46
ji#hg#0500s4#R#cgp5#4488#02,ji4488.grt,cgp5,40,1.48,1.46
ji#hg#0500s4#R#cgp5#4488#03,ji4488.grt,cgp5,40,1.48,1.46
ji#hg#0500s4#R#cgp5#4489#04,ji4489.grt,cgp5,40,1.48,1.46
ji#hg#0500s4#R#cgp5#4489#05,ji4489.grt,cgp5,40,1.48,1.46
ji#hg#0500s4#R#cgp5#4490#06,ji4490.grt,cgp5,40,1.48,1.46
ji#hg#0500s4#R#cgp5#4490#07,ji4490.grt,cgp5,40,1.48,1.46
ji#hg#0500s4#R#cgp5#4491#08,ji4491.grt,cgp5,40,1.48,1.46
ji#hg#0500s4#R#cgp5#4491#09,ji4491.grt,cgp5,40,1.48,1.46
ji#hg#0500s4#R#cgp5#4491#10,ji4491.grt,cgp5,40,1.48,1.46
ji#hg#0500s4#R#damp#4542#01,ji4542.grt,damp,83,1,1.47
ji#hg#0500s4#R#damp#4542#02,ji4542.grt,damp,83,1,1.47
ji#hg#0500s4#R#damp#4542#03,ji4542.grt,damp,83,1,1.47
ji#hg#0500s4#R#damp#4543#04,ji4543.grt,damp,83,1,1.47
ji#hg#0500s4#R#damp#4543#05,ji4543.grt,damp,83,1,1.47
ji#hg#0500s4#R#damp#4544#06,ji4544.grt,damp,83,1,1.47
ji#hg#0500s4#R#damp#4544#07,ji4544.grt,damp,83,1,1.47
ji#hg#0500s4#R#damp#4545#08,ji4545.grt,damp,83,1,1.47
ji#hg#0500s4#R#damp#4545#09,ji4545.grt,damp,83,1,1.47
ji#hg#0500s4#R#damp#4545#10,ji4545.grt,damp,83,1,1.47
ji#hg#0500s4#R#dpat#4530#01,ji4530.grt,dpat,135,2,1.2
ji#hg#0500s4#R#dpat#4530#02,ji4530.grt,dpat,135,2,1.2
ji#hg#0500s4#R#dpat#4530#03,ji4530.grt,dpat,135,2,1.2
ji#hg#0500s4#R#dpat#4531#04,ji4531.grt,dpat,135,2,1.2
ji#hg#0500s4#R#dpat#4531#05,ji4531.grt,dpat,135,2,1.2
ji#hg#0500s4#R#dpat#4532#06,ji4532.grt,dpat,135,2,1.2
ji#hg#0500s4#R#dpat#4532#07,ji4532.grt,dpat,135,2,1.2
ji#hg#0500s4#R#dpat#4533#08,ji4533.grt,dpat,135,2,1.2
ji#hg#0500s4#R#dpat#4533#09,ji4533.grt,dpat,135,2,1.2
ji#hg#0500s4#R#dpat#4533#10,ji4533.grt,dpat,135,2,1.2
