image,film,ligand,sa,kd,l
mf#rh#11539#R#ampa#5686#01,mf5686,ampa,55.5,10,8.57
mf#rh#11539#R#ampa#5686#02,mf5686,ampa,55.5,10,8.57
mf#rh#11539#R#ampa#5686#03,mf5686,ampa,55.5,10,8.57
mf#rh#11539#R#ampa#5686#04,mf5686,ampa,55.5,10,8.57
mf#rh#11539#R#ampa#5686#05,mf5686,ampa,55.5,10,8.57
mf#rh#11539#R#ampa#5686#06,mf5686,ampa,55.5,10,8.57
mf#rh#11539#R#ampa#5686#07,mf5686,ampa,55.5,10,8.57
mf#rh#11539#R#ampa#5686#08,mf5686,ampa,55.5,10,8.57
mf#rh#11539#R#ampa#5686#09,mf5686,ampa,55.5,10,8.57
mf#rh#11539#R#ampa#5686#10,mf5686,ampa,55.5,10,8.57
mf#rh#11539#R#ampa#5686#11,mf5686,ampa,55.5,10,8.57
mf#rh#11539#R#ampa#5686#12,mf5686,ampa,55.5,10,8.57
mf#rh#11539#R#ampa#5686#13,mf5686,ampa,55.5,10,8.57
mf#rh#11539#R#ampa#5686#14,mf5686,ampa,55.5,10,8.57
mf#rh#11539#R#ampa#5686#15,mf5686,ampa,55.5,10,8.57
mf#rh#11539#R#ampa#5686#16,mf5686,ampa,55.5,10,8.57
mf#rh#11539#R#ampa#5686#17,mf5686,ampa,55.5,10,8.57
mf#rh#11539#R#ampa#5686#18,mf5686,ampa,55.5,10,8.57
mf#rh#11539#R#ampa#5686#19,mf5686,ampa,55.5,10,8.57
mf#rh#11539#R#ampa#5686#20,mf5686,ampa,55.5,10,8.57
mf#rh#11539#R#ampa#5686#21,mf5686,ampa,55.5,10,8.57
mf#rh#11539#R#ampa#5686#22,mf5686,ampa,55.5,10,8.57
mf#rh#11539#R#ampa#5686#23,mf5686,ampa,55.5,10,8.57
mf#rh#11539#R#ampa#5686#24,mf5686,ampa,55.5,10,8.57
mf#rh#11539#R#ampa#5686#25,mf5686,ampa,55.5,10,8.57
mf#rh#11539#R#ampa#5686#26,mf5686,ampa,55.5,10,8.57
mf#rh#11539#R#ampa#5686#27,mf5686,ampa,55.5,10,8.57
mf#rh#11539#R#ampa#5686#28,mf5686,ampa,55.5,10,8.57
mf#rh#11539#R#ampa#5686#29,mf5686,ampa,55.5,10,8.57
mf#rh#11539#R#ampa#5686#30,mf5686,ampa,55.5,10,8.57
mf#rh#11539#R#ampa#5686#31,mf5686,ampa,55.5,10,8.57
mf#rh#11539#R#ampa#5686#32,mf5686,ampa,55.5,10,8.57
mf#rh#11539#R#ampa#5687#33,mf5687,ampa,55.5,10,8.57
mf#rh#11539#R#ampa#5687#34,mf5687,ampa,55.5,10,8.57
mf#rh#11539#R#ampa#5687#35,mf5687,ampa,55.5,10,8.57
mf#rh#11539#R#ampa#5687#36,mf5687,ampa,55.5,10,8.57
mf#rh#11539#R#ampa#5687#37,mf5687,ampa,55.5,10,8.57
mf#rh#11539#R#ampa#5687#38,mf5687,ampa,55.5,10,8.57
mf#rh#11539#R#ampa#5687#39,mf5687,ampa,55.5,10,8.57
mf#rh#11539#R#ampa#5687#40,mf5687,ampa,55.5,10,8.57
mf#rh#11539#R#ampa#5687#41,mf5687,ampa,55.5,10,8.57
mf#rh#11539#R#ampa#5687#42,mf5687,ampa,55.5,10,8.57
mf#rh#11539#R#ampa#5687#43,mf5687,ampa,55.5,10,8.57
mf#rh#11539#R#ampa#5687#44,mf5687,ampa,55.5,10,8.57
mf#rh#11539#R#ampa#5687#45,mf5687,ampa,55.5,10,8.57
mf#rh#11539#R#ampa#5687#46,mf5687,ampa,55.5,10,8.57
mf#rh#11539#R#ampa#5687#47,mf5687,ampa,55.5,10,8.57
mf#rh#11539#R#ampa#5687#48,mf5687,ampa,55.5,10,8.57
mf#rh#11539#R#ampa#5687#49,mf5687,ampa,55.5,10,8.57
mf#rh#11539#R#ampa#5687#50,mf5687,ampa,55.5,10,8.57
mf#rh#11539#R#ampa#5687#51,mf5687,ampa,55.5,10,8.57
mf#rh#11539#R#ampa#5687#52,mf5687,ampa,55.5,10,8.57
mf#rh#11539#R#ampa#5687#53,mf5687,ampa,55.5,10,8.57
mf#rh#11539#R#ampa#5687#54,mf5687,ampa,55.5,10,8.57
mf#rh#11539#R#ampa#5687#55,mf5687,ampa,55.5,10,8.57
mf#rh#11539#R#ampa#5687#56,mf5687,ampa,55.5,10,8.57
mf#rh#11539#R#ampa#5687#57,mf5687,ampa,55.5,10,8.57
mf#rh#11539#R#ampa#5687#58,mf5687,ampa,55.5,10,8.57
mf#rh#11539#R#ampa#5687#59,mf5687,ampa,55.5,10,8.57
mf#rh#11539#R#ampa#5687#60,mf5687,ampa,55.5,10,8.57
mf#rh#11539#R#ampa#5687#61,mf5687,ampa,55.5,10,8.57
mf#rh#11539#R#ampa#5687#62,mf5687,ampa,55.5,10,8.57
,
mf#rh#11539#R#kain#5688#01,mf5688,kain,58,12,10.42
mf#rh#11539#R#kain#5688#02,mf5688,kain,58,12,10.42
mf#rh#11539#R#kain#5688#03,mf5688,kain,58,12,10.42
mf#rh#11539#R#kain#5688#04,mf5688,kain,58,12,10.42
mf#rh#11539#R#kain#5688#05,mf5688,kain,58,12,10.42
mf#rh#11539#R#kain#5688#06,mf5688,kain,58,12,10.42
mf#rh#11539#R#kain#5688#07,mf5688,kain,58,12,10.42
mf#rh#11539#R#kain#5688#08,mf5688,kain,58,12,10.42
mf#rh#11539#R#kain#5688#09,mf5688,kain,58,12,10.42
mf#rh#11539#R#kain#5688#10,mf5688,kain,58,12,10.42
mf#rh#11539#R#kain#5688#11,mf5688,kain,58,12,10.42
mf#rh#11539#R#kain#5688#12,mf5688,kain,58,12,10.42
mf#rh#11539#R#kain#5688#13,mf5688,kain,58,12,10.42
mf#rh#11539#R#kain#5688#14,mf5688,kain,58,12,10.42
mf#rh#11539#R#kain#5688#15,mf5688,kain,58,12,10.42
mf#rh#11539#R#kain#5688#16,mf5688,kain,58,12,10.42
mf#rh#11539#R#kain#5688#17,mf5688,kain,58,12,10.42
mf#rh#11539#R#kain#5688#18,mf5688,kain,58,12,10.42
mf#rh#11539#R#kain#5688#19,mf5688,kain,58,12,10.42
mf#rh#11539#R#kain#5688#20,mf5688,kain,58,12,10.42
mf#rh#11539#R#kain#5688#21,mf5688,kain,58,12,10.42
mf#rh#11539#R#kain#5688#22,mf5688,kain,58,12,10.42
mf#rh#11539#R#kain#5688#23,mf5688,kain,58,12,10.42
mf#rh#11539#R#kain#5688#24,mf5688,kain,58,12,10.42
mf#rh#11539#R#kain#5688#25,mf5688,kain,58,12,10.42
mf#rh#11539#R#kain#5688#26,mf5688,kain,58,12,10.42
mf#rh#11539#R#kain#5688#27,mf5688,kain,58,12,10.42
mf#rh#11539#R#kain#5688#28,mf5688,kain,58,12,10.42
mf#rh#11539#R#kain#5688#29,mf5688,kain,58,12,10.42
mf#rh#11539#R#kain#5688#30,mf5688,kain,58,12,10.42
mf#rh#11539#R#kain#5688#31,mf5688,kain,58,12,10.42
mf#rh#11539#R#kain#5688#32,mf5688,kain,58,12,10.42
mf#rh#11539#R#kain#5689#33,mf5689,kain,58,12,10.42
mf#rh#11539#R#kain#5689#34,mf5689,kain,58,12,10.42
mf#rh#11539#R#kain#5689#35,mf5689,kain,58,12,10.42
mf#rh#11539#R#kain#5689#36,mf5689,kain,58,12,10.42
mf#rh#11539#R#kain#5689#37,mf5689,kain,58,12,10.42
mf#rh#11539#R#kain#5689#38,mf5689,kain,58,12,10.42
mf#rh#11539#R#kain#5689#39,mf5689,kain,58,12,10.42
mf#rh#11539#R#kain#5689#40,mf5689,kain,58,12,10.42
mf#rh#11539#R#kain#5689#41,mf5689,kain,58,12,10.42
mf#rh#11539#R#kain#5689#42,mf5689,kain,58,12,10.42
mf#rh#11539#R#kain#5689#43,mf5689,kain,58,12,10.42
mf#rh#11539#R#kain#5689#44,mf5689,kain,58,12,10.42
mf#rh#11539#R#kain#5689#45,mf5689,kain,58,12,10.42
