image,ligand,sa,kd,l
mo#rh#11543#L#ampa#5722#01,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5722#02,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5722#03,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5722#04,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5722#05,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5722#06,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5722#07,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5722#08,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5722#09,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5722#10,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5722#11,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5722#12,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5722#13,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5722#14,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5722#15,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5722#16,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5722#17,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5722#18,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5722#19,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5722#20,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5722#21,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5722#22,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5722#23,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5722#24,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5722#25,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5722#26,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5722#27,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5722#28,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5722#29,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5722#30,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5722#31,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5722#32,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5722#33,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5723#34,mo5723,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5723#35,mo5723,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5723#36,mo5723,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5723#37,mo5723,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5723#38,mo5723,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5723#39,mo5723,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5723#40,mo5723,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5723#41,mo5723,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5723#42,mo5723,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5723#43,mo5723,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5723#44,mo5723,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5723#45,mo5723,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5723#46,mo5723,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5723#47,mo5723,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5723#48,mo5723,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5723#49,mo5723,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5723#50,mo5723,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5723#51,mo5723,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5723#52,mo5723,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5723#53,mo5723,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5723#54,mo5723,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5723#55,mo5723,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5723#56,mo5723,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5723#57,mo5723,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5723#58,mo5723,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5723#59,mo5723,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5723#60,mo5723,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5723#61,mo5723,ampa,55.5,10,10.42
mo#rh#11543#L#cgp5#5718#01,mo5718,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5718#02,mo5718,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5718#03,mo5718,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5718#04,mo5718,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5718#05,mo5718,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5718#06,mo5718,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5718#07,mo5718,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5718#08,mo5718,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5718#09,mo5718,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5718#10,mo5718,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5718#11,mo5718,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5718#12,mo5718,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5718#13,mo5718,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5718#14,mo5718,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5718#15,mo5718,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5718#16,mo5718,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5718#17,mo5718,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5718#18,mo5718,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5718#19,mo5718,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5718#20,mo5718,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5718#21,mo5718,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5718#22,mo5718,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5718#23,mo5718,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5718#24,mo5718,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5718#25,mo5718,cgp5,50,1.48,1.84
