image,film,ligand,sa,kd,l
mr#rh#11530#L#ampa#5761#01,mr5761,ampa,55.5,10,7
mr#rh#11530#L#ampa#5761#02,mr5761,ampa,55.5,10,7
mr#rh#11530#L#ampa#5761#03,mr5761,ampa,55.5,10,7
mr#rh#11530#L#ampa#5761#04,mr5761,ampa,55.5,10,7
mr#rh#11530#L#ampa#5761#05,mr5761,ampa,55.5,10,7
mr#rh#11530#L#ampa#5761#06,mr5761,ampa,55.5,10,7
mr#rh#11530#L#ampa#5761#07,mr5761,ampa,55.5,10,7
mr#rh#11530#L#ampa#5761#08,mr5761,ampa,55.5,10,7
mr#rh#11530#L#ampa#5761#09,mr5761,ampa,55.5,10,7
mr#rh#11530#L#ampa#5761#10,mr5761,ampa,55.5,10,7
mr#rh#11530#L#ampa#5761#11,mr5761,ampa,55.5,10,7
mr#rh#11530#L#ampa#5761#12,mr5761,ampa,55.5,10,7
mr#rh#11530#L#ampa#5761#13,mr5761,ampa,55.5,10,7
mr#rh#11530#L#ampa#5761#14,mr5761,ampa,55.5,10,7
mr#rh#11530#L#ampa#5761#15,mr5761,ampa,55.5,10,7
mr#rh#11530#L#ampa#5761#16,mr5761,ampa,55.5,10,7
mr#rh#11530#L#ampa#5761#17,mr5761,ampa,55.5,10,7
mr#rh#11530#L#ampa#5761#18,mr5761,ampa,55.5,10,7
mr#rh#11530#L#ampa#5761#19,mr5761,ampa,55.5,10,7
mr#rh#11530#L#ampa#5761#20,mr5761,ampa,55.5,10,7
mr#rh#11530#L#ampa#5761#21,mr5761,ampa,55.5,10,7
mr#rh#11530#L#ampa#5761#22,mr5761,ampa,55.5,10,7
mr#rh#11530#L#ampa#5761#23,mr5761,ampa,55.5,10,7
mr#rh#11530#L#ampa#5761#24,mr5761,ampa,55.5,10,7
mr#rh#11530#L#ampa#5761#25,mr5761,ampa,55.5,10,7
mr#rh#11530#L#ampa#5761#26,mr5761,ampa,55.5,10,7
mr#rh#11530#L#ampa#5761#27,mr5761,ampa,55.5,10,7
mr#rh#11530#L#ampa#5761#28,mr5761,ampa,55.5,10,7
mr#rh#11530#L#ampa#5761#29,mr5761,ampa,55.5,10,7
mr#rh#11530#L#ampa#5761#30,mr5761,ampa,55.5,10,7
mr#rh#11530#L#ampa#5761#31,mr5761,ampa,55.5,10,7
mr#rh#11530#L#ampa#5761#32,mr5761,ampa,55.5,10,7
mr#rh#11530#L#ampa#5762#34,mr5762,ampa,55.5,10,7
mr#rh#11530#L#ampa#5762#35,mr5762,ampa,55.5,10,7
mr#rh#11530#L#ampa#5762#36,mr5762,ampa,55.5,10,7
mr#rh#11530#L#ampa#5762#37,mr5762,ampa,55.5,10,7
mr#rh#11530#L#ampa#5762#38,mr5762,ampa,55.5,10,7
mr#rh#11530#L#ampa#5762#39,mr5762,ampa,55.5,10,7
mr#rh#11530#L#ampa#5762#40,mr5762,ampa,55.5,10,7
mr#rh#11530#L#ampa#5762#41,mr5762,ampa,55.5,10,7
mr#rh#11530#L#ampa#5762#42,mr5762,ampa,55.5,10,7
mr#rh#11530#L#ampa#5762#43,mr5762,ampa,55.5,10,7
mr#rh#11530#L#ampa#5762#44,mr5762,ampa,55.5,10,7
mr#rh#11530#L#ampa#5762#45,mr5762,ampa,55.5,10,7
mr#rh#11530#L#ampa#5762#46,mr5762,ampa,55.5,10,7
mr#rh#11530#L#ampa#5762#47,mr5762,ampa,55.5,10,7
mr#rh#11530#L#ampa#5762#48,mr5762,ampa,55.5,10,7
mr#rh#11530#L#ampa#5762#49,mr5762,ampa,55.5,10,7
mr#rh#11530#L#ampa#5762#50,mr5762,ampa,55.5,10,7
